#hypernode	nodes
http://pathwaycommons.org/pc12/Complex_c5b42ff049a81816806c4077d0ac1bc5	http://pathwaycommons.org/pc12/Protein_c9ab988bac540ade1e7f357724c291a7;http://pathwaycommons.org/pc12/Protein_82e6dea88b99f1f6ed16ca770745a946
http://pathwaycommons.org/pc12/Complex_05697dd991d5fc1cd645a0044b7c11b3	http://pathwaycommons.org/pc12/Protein_56610390a058781e82212465063f0ac4;http://pathwaycommons.org/pc12/Protein_828197366cc5f4b6c2d033406cf85936;http://pathwaycommons.org/pc12/Protein_ae70ab0efaf08e49041f58d70f4473e9;http://pathwaycommons.org/pc12/Protein_d580d04c35aeccac46b37594ed202737
http://pathwaycommons.org/pc12/Complex_4aa96bf14d50c82fed5ef4697f1ce7ce	http://pathwaycommons.org/pc12/Protein_8f1e8eb7f8a94620f8fe7ee2c7c4093f;http://pathwaycommons.org/pc12/Protein_ba2dd7da27dd38aaff1f99204b6d6a80;http://pathwaycommons.org/pc12/Protein_212d9c9fffaab114ab7897f2c19dbf2a;http://pathwaycommons.org/pc12/Protein_1a004d597613f9ec72ac4f06fe0b45b0
http://pathwaycommons.org/pc12/Complex_d94718e37fd376d36964d093534054d5	http://pathwaycommons.org/pc12/Protein_f7ba0ffc812b30fb94ba90a355a040f6;http://pathwaycommons.org/pc12/Protein_56610390a058781e82212465063f0ac4;http://pathwaycommons.org/pc12/Protein_212d9c9fffaab114ab7897f2c19dbf2a;http://pathwaycommons.org/pc12/Protein_8f1e8eb7f8a94620f8fe7ee2c7c4093f;http://pathwaycommons.org/pc12/Protein_828197366cc5f4b6c2d033406cf85936;http://pathwaycommons.org/pc12/Protein_d580d04c35aeccac46b37594ed202737
http://pathwaycommons.org/pc12/Complex_8fdc1a75607ecbdc3762445ece9f0ce2	http://pathwaycommons.org/pc12/Protein_d580d04c35aeccac46b37594ed202737;http://pathwaycommons.org/pc12/Protein_56610390a058781e82212465063f0ac4;http://pathwaycommons.org/pc12/Protein_828197366cc5f4b6c2d033406cf85936;http://pathwaycommons.org/pc12/Protein_cd0c29b866af444d29115f0cc1622e1a
http://pathwaycommons.org/pc12/Complex_5b48ff69ed8b27ec6d7f0dbbc3337d8b	http://pathwaycommons.org/pc12/Protein_6e5d794abd6197715e3ccdb0d473aa31;http://pathwaycommons.org/pc12/Protein_56610390a058781e82212465063f0ac4;http://pathwaycommons.org/pc12/Protein_828197366cc5f4b6c2d033406cf85936
http://pathwaycommons.org/pc12/Complex_1d87c7e06cda9af181e1377f4b7e39c3	http://pathwaycommons.org/pc12/Protein_56610390a058781e82212465063f0ac4;http://pathwaycommons.org/pc12/Protein_212d9c9fffaab114ab7897f2c19dbf2a;http://pathwaycommons.org/pc12/Protein_f6826d0637e77969abed009cd6d8aa9b;http://pathwaycommons.org/pc12/Protein_8f1e8eb7f8a94620f8fe7ee2c7c4093f;http://pathwaycommons.org/pc12/Protein_828197366cc5f4b6c2d033406cf85936;http://pathwaycommons.org/pc12/Protein_d580d04c35aeccac46b37594ed202737
http://pathwaycommons.org/pc12/Complex_818779fe11f9eb702711cd31a210f683	http://pathwaycommons.org/pc12/Protein_f6826d0637e77969abed009cd6d8aa9b;http://pathwaycommons.org/pc12/Protein_56610390a058781e82212465063f0ac4;http://pathwaycommons.org/pc12/Protein_828197366cc5f4b6c2d033406cf85936;http://pathwaycommons.org/pc12/Protein_d580d04c35aeccac46b37594ed202737
http://pathwaycommons.org/pc12/Complex_b35b1a9207a731da9e3feb9ffac8d118	http://pathwaycommons.org/pc12/Protein_56610390a058781e82212465063f0ac4;http://pathwaycommons.org/pc12/Protein_828197366cc5f4b6c2d033406cf85936;http://pathwaycommons.org/pc12/Protein_f6826d0637e77969abed009cd6d8aa9b
http://pathwaycommons.org/pc12/Complex_e605105f125c44e122ca0d1030305a09	http://pathwaycommons.org/pc12/Protein_98a8c4044778cd8ec66d81eb7956977e;http://pathwaycommons.org/pc12/Protein_212d9c9fffaab114ab7897f2c19dbf2a
http://pathwaycommons.org/pc12/Complex_b2e30819043259ae9754ad9c241c3fca	http://pathwaycommons.org/pc12/Protein_935c589697afdac3a7c9723a3373b822;http://pathwaycommons.org/pc12/Protein_d580d04c35aeccac46b37594ed202737
http://pathwaycommons.org/pc12/Complex_48885f51a567859c2d15387aa9107afc	http://pathwaycommons.org/pc12/Protein_56610390a058781e82212465063f0ac4;http://pathwaycommons.org/pc12/Protein_212d9c9fffaab114ab7897f2c19dbf2a;http://pathwaycommons.org/pc12/Protein_93e13246bdf8ff31e2ba49ddaf4f916c;http://pathwaycommons.org/pc12/Protein_f6826d0637e77969abed009cd6d8aa9b;http://pathwaycommons.org/pc12/Protein_828197366cc5f4b6c2d033406cf85936;http://pathwaycommons.org/pc12/Protein_d580d04c35aeccac46b37594ed202737
http://pathwaycommons.org/pc12/Complex_211d68354570313ab0576060fb4a6179	http://pathwaycommons.org/pc12/Protein_f7ba0ffc812b30fb94ba90a355a040f6;http://pathwaycommons.org/pc12/Protein_56610390a058781e82212465063f0ac4;http://pathwaycommons.org/pc12/Protein_212d9c9fffaab114ab7897f2c19dbf2a;http://pathwaycommons.org/pc12/Protein_8f1e8eb7f8a94620f8fe7ee2c7c4093f;http://pathwaycommons.org/pc12/Protein_828197366cc5f4b6c2d033406cf85936;http://pathwaycommons.org/pc12/Protein_d580d04c35aeccac46b37594ed202737
http://pathwaycommons.org/pc12/Complex_1c217b4dd23f78983e326d5b6abe9cd1	http://pathwaycommons.org/pc12/Protein_f6826d0637e77969abed009cd6d8aa9b;http://pathwaycommons.org/pc12/Protein_56610390a058781e82212465063f0ac4;http://pathwaycommons.org/pc12/Protein_828197366cc5f4b6c2d033406cf85936;http://pathwaycommons.org/pc12/Protein_d580d04c35aeccac46b37594ed202737
